FLORIDA SOIL SERIES, TEXTURES, AND AVAIL. WATER CAPACITY
 766   NUMBER OF SOIL TYPES                             
673 TARRYTOWN            FSL  SCL                       
4   7.10.15 14.12.17 50.12.15 80.05.08                  
674 TAVARES              S    FS                        
2   7.05.10 80.02.05                                    
675 TAVARES,BD.          S    FS                        
2   7.05.10 80.02.05                                    
676 TAVARES,CEM.SUBS.    S    FS                        
3   7.05.10 60.02.05 80.02.05                           
677 TAVARES,OCC.FL.      S    FS                        
2   6.02.05 80.02.10                                    
678 TEQUESTA             MK                             
4  12.20.25 44.05.10 72.10.15 82.02.05                  
679 TEQUESTA VAR.        S    FS                        
5  12.10.15 16.05.10 26.10.15 34.05.10 50.02.05         
680 TERRA CEIA           MK   PT                        
2  65.30.50 80.02.08                                    
681 TERRA CEIA,FREQ.FL.  MK   PT                        
1  65.30.50                                             
682 TERRA CEIA,TD.       MK   PT                        
2  66.20.50 80.02.08                                    
683 TERRA CEIA VAR.      MK                             
1  60.20.35                                             
684 TIFTON               LS   S    FS                   
4   9.03.08 14.08.12 39.12.16 72.10.13                  
685 TIFTON               SL   FSL  LFS                  
4   9.06.10 14.08.12 39.12.16 72.10.13                  
686 TISONIA              HM   MPT                       
2  18.25.35 65.15.20                                    
687 TOCOI                S    FS                        
5  13.02.10 23.05.15 45.02.10 76.10.20 80.05.15         
688 TOMOKA               MK                             
3  27.30.50 35.05.10 55.10.15                           
689 TOOLES               S    FS                        
2  32.05.10 46.15.20                                    
690 TOOLES,FL.           S    FS                        
2  32.05.10 46.15.20                                    
691 TOOLES,PD.           S    FS                        
2  32.05.10 46.15.20                                    
692 TORRY                MK                             
2  36.20.25 65.20.30                                    
693 TROUP                LS   LFS                       
2  53.08.12 80.10.13                                    
694 TROUP                S    FS   COS                  
2  53.05.10 80.10.13                                    
695 TURNBULL             C                              
2  36.15.20 80.05.10                                    
696 TURNBULL VAR.        SCL                            
5   6.20.25 23.10.20 36.10.15 50.05.10 80.05.10         
697 TUSCAWILLA           S    FS                        
4  10.05.10 40.08.12 62.03.08 80.03.12                  
698 TYPIC HYDRAQUENTS    C    CL   SCL                  
3   8.17.19 15.16.18 25.16.18                           
699 UDORTHENTS           S                              
1  57.02.05                                             
700 UDORTHENTS,MOD.WET   S    FS                        
2  30.02.05 50.02.08                                    
701 UDORTHENTS VAR.      SIL  CL   C                    
2  72.10.20 90.05.10                                    
702 UDORTHENTS VAR.      SR   SIL  FS                   
2  72.05.20 90.05.10                                    
703 UDORTHENTS,ML.SUBS.  S    S                         
2  32.02.05 60.15.20                                    
704 VALKARIA             S    FS                        
4   9.05.10 15.03.08 41.05.10 80.03.08                  
705 VALKARIA,DP.         S    FS                        
4   7.05.10 14.03.08 38.05.10 80.03.08                  
706 VAUCLUSE             LS   S    LCOS                 
4  15.04.08 29.10.15 58.04.08 72.04.08                  
707 VAUCLUSE             FSL  SL                        
4  15.08.12 29.10.15 58.04.08 72.04.08                  
708 VAUCLUSE             SCL                            
4  15.10.13 29.10.15 58.04.08 72.04.08                  
709 VAUCLUSE,GRV.        LS   LS   S                    
4  15.02.06 29.10.15 65.04.08 80.04.08                  
710 VAUCLUSE,GRV.        SL   SL                        
4  15.06.10 29.10.15 65.04.08 80.04.08                  
711 VERO                 S    FS                        
4  21.03.08 28.10.15 62.10.15 99.05.10                  
712 VERO,BD.             S    FS                        
5   4.03.08 15.02.05 21.10.15 60.15.20 80.10.15         
713 VERO,DP.             S    FS                        
4  17.03.08 33.10.15 60.10.15 80.05.10                  
714 VERO,LM.SUBS.        S    FS                        
4  16.02.07 26.10.15 29.05.10 39.10.15                  
715 WABASSO              S    FS                        
5  16.02.05 28.10.15 32.02.05 48.10.15 75.05.10         
716 WABASSO,DP.          S    FS                        
4  21.02.05 26.10.15 40.10.15 80.05.10                  
717 WABASSO,FL.          S    FS                        
5  21.05.05 31.10.15 37.05.05 65.10.15 80.05.10         
718 WABASSO,LM.SUBS.     S    FS                        
4   6.02.07 25.10.15 35.05.10 55.10.15                  
719 WABASSO VAR.         S    FS                        
4  20.02.05 23.10.15 25.02.05 32.10.15                  
720 WABASSO VAR.         S                              
6  20.02.05 23.10.15 25.02.05 32.10.10 36.05.08 80.02.15
721 WABASSO VAR.         S    FS                        
3  23.05.05 30.10.15 36.10.15                           
722 WACAHOOTA            S    LS   LFS                  
3   5.08.12 29.05.08 78.08.12                           
723 WAGRAM               LS   LFS                       
2  24.05.08 75.12.16                                    
724 WAGRAM               FS   S                         
2  24.03.07 75.12.16                                    
725 WAHEE                SL   FSL                       
3  11.10.15 56.12.20 65.12.20                           
726 WAHEE                L    SIL  VFSL                 
3  11.15.20 56.12.20 65.12.20                           
727 WAKULLA              LS   LFS                       
3  24.05.10 42.05.10 80.05.05                           
728 WAKULLA              S    FS                        
3  24.05.05 42.05.10 80.05.05                           
729 WAUBERG              S    FS   LS                   
5   9.05.15 24.03.10 40.07.13 63.05.13 81.08.15         
730 WAUCHULA             S    FS                        
6   6.08.15 22.02.10 34.15.25 38.08.15 50.10.17 80.15.20
731 WAUCHULA,DP.         S    FS                        
5   7.08.15 21.02.10 28.15.25 37.08.15 80.10.17         
732 WAVELAND             S    FS                        
6   4.03.08 32.01.03 40.10.15 53.10.15 66.10.15 81.05.10
733 WAVELAND,DP.         S    FS                        
5   4.03.08 37.01.03 43.10.15 50.10.15 80.05.10         
734 WEEKIWACHEE          MK                             
2  32.20.25 36.10.15                                    
735 WELAKA               S    FS                        
3  18.02.05 55.02.05 80.02.05                           
736 WELAKA VAR.          S    FS                        
2  18.02.05 96.02.05                                    
737 WESCONNETT           FS   S                         
4   2.10.15 32.10.15 44.05.08 80.10.15                  
738 WESTON               FSL  SL                        
3   9.10.15 44.10.20 54.10.18                           
739 WESTON               LFS                            
3   9.07.11 44.10.20 54.10.18                           
740 WICKSBURG            COS                            
3  26.02.06 30.12.18 65.14.18                           
741 WICKSBURG            LS   LFS                       
3  26.05.11 30.12.18 65.14.18                           
742 WICKSBURG            S    FS                        
3  26.04.08 30.12.18 65.14.18                           
743 WILLISTON            LS   LFS                       
3  12.08.10 18.12.17 37.14.18                           
744 WILLISTON            S    FS                        
3  12.05.07 18.12.17 37.14.18                           
745 WILLISTON VAR.       LS   LFS                       
2   4.08.10 12.14.18                                    
746 WINDER               S    FS                        
5  12.03.08 17.06.10 31.10.15 47.06.12 65.03.10         
747 WINDER               LS   LFS                       
5  12.06.10 17.06.10 31.10.15 47.06.12 65.03.10         
748 WINDER,DP.           S    FS                        
5  12.03.08 17.06.10 31.10.15 47.06.12 65.03.10         
749 WINDER,DP.           LS   LFS                       
5  12.06.10 17.06.10 31.10.15 47.06.12 65.03.10         
750 WINDER,FL.           S    FS                        
5  12.03.08 17.06.10 31.10.15 47.06.12 65.03.10         
751 WINDER,FL.           LS   LFS                       
5  12.06.10 17.06.10 31.10.15 47.06.12 65.03.10         
752 WINDER VAR.          S                              
6   6.08.12  9.05.08 27.10.15 29.05.10 32.05.08 80.10.15
753 WULFERT              MK                             
3  12.20.25 36.10.15 60.02.08                           
754 YEMASSEE             LS   LFS                       
3  12.06.11 50.11.18 75.11.17                           
755 YEMASSEE             SL   FSL                       
3  12.10.15 50.11.18 75.11.17                           
756 YEMASSEE,FL.         LS   LFS                       
3  12.06.11 50.11.18 75.11.17                           
757 YEMASSEE,FL.         SL   FSL                       
3  12.10.15 50.11.18 75.11.17                           
758 YONGES               LFS                            
3  14.09.14 42.13.18 60.12.16                           
759 YONGES               FSL                            
3  14.11.15 42.13.18 60.12.16                           
760 YONGES,FL.           SL   FSL                       
3  14.11.14 42.13.18 60.12.16                           
761 YONGES,FL.           L    SIL                       
3  14.15.20 42.13.18 60.12.16                           
762 YULEE                C    SC   CL                   
3  14.15.20 66.12.17 82.12.17                           
763 ZEPHYR               S    FS                        
3  18.05.10 48.10.15 67.07.12                           
764 ZOLFO                FS   S                         
3   7.10.15 63.03.10 80.10.25                           
765 ZUBER                LS   LFS                       
5   7.08.10 15.08.10 20.12.17 70.13.18 80.13.18         
766 ZUBER                S    FS                        
5   7.05.07 15.08.10 20.12.17 70.13.18 80.13.18         
